Admin0,Admin1,Population,Year,Dataset
Afghanistan,,28392133,2018,LandScan Global
Albania,,3035641,2018,LandScan Global
Algeria,,41608812,2018,LandScan Global
Angola,,30330976,2018,LandScan Global
Argentina,,44653626,2018,LandScan Global
Armenia,,3035091,2018,LandScan Global
Australia,,23283442,2018,LandScan Global
Austria,,8795668,2018,LandScan Global
Bangladesh,,160259679,2018,LandScan Global
Belarus,,9530365,2018,LandScan Global
Belgium,,11547674,2018,LandScan Global
Belize,,382550,2018,LandScan Global
Benin,,11296078,2018,LandScan Global
Bolivia,,11287802,2018,LandScan Global
Bosnia and Herzegovina,,3861336,2018,LandScan Global
Brazil,,206890106,2018,LandScan Global
Brunei,,447936,2018,LandScan Global
Bulgaria,,7031916,2018,LandScan Global
Burkina Faso,,19714698,2018,LandScan Global
Burma,,54528891,2018,LandScan Global
Burundi,,11856419,2018,LandScan Global
Cambodia,,16386962,2018,LandScan Global
Cameroon,,25668908,2018,LandScan Global
Canada,,35519369,2018,LandScan Global
Central African Republic,,5705511,2018,LandScan Global
Chad,,15798858,2018,LandScan Global
Chile,,17755790,2018,LandScan Global
China,,1380915609,2018,LandScan Global
Colombia,,47922191,2018,LandScan Global
Comoros,,788866,2018,LandScan Global
Costa Rica,,4975506,2018,LandScan Global
Ivory Coast,,26141387,2018,LandScan Global
Croatia,,4119891,2018,LandScan Global
Cuba,,11041477,2018,LandScan Global
Czechia,,10712978,2018,LandScan Global
Denmark,,5594417,2018,LandScan Global
Disputed Territory,,3728,2018,LandScan Global
Djibouti,,838739,2018,LandScan Global
Ecuador,,16441257,2018,LandScan Global
Egypt,,99327730,2018,LandScan Global
El Salvador,,6134660,2018,LandScan Global
Eritrea,,5947211,2018,LandScan Global
Estonia,,1231033,2018,LandScan Global
Ethiopia,,110695603,2018,LandScan Global
Falkland Islands,,3067,2018,LandScan Global
Federated States of Micronesia,,87451,2018,LandScan Global
France,,64841709,2018,LandScan Global
Gabon,,2111797,2018,LandScan Global
Georgia,,4910799,2018,LandScan Global
Germany,,80219150,2018,LandScan Global
Ghana,,27577027,2018,LandScan Global
Gibraltar,,34989,2018,LandScan Global
Guatemala,,16510513,2018,LandScan Global
Guinea,,11750025,2018,LandScan Global
Guinea-Bissau,,1820886,2018,LandScan Global
Guyana,,736999,2018,LandScan Global
Haiti,,10491944,2018,LandScan Global
Honduras,,9100158,2018,LandScan Global
Hungary,,9850470,2018,LandScan Global
India,,1295784885,2018,LandScan Global
Indonesia,,260464573,2018,LandScan Global
Iran,,82866155,2018,LandScan Global
Iraq,,40750212,2018,LandScan Global
Israel,,8364470,2018,LandScan Global
Italy,,61525881,2018,LandScan Global
Jamaica,,2737915,2018,LandScan Global
Japan,,125146747,2018,LandScan Global
Jordan,,9897275,2018,LandScan Global
Kuwait,,2914794,2018,LandScan Global
Laos,,7132747,2018,LandScan Global
Lesotho,,1947338,2018,LandScan Global
Liberia,,4734883,2018,LandScan Global
Libya,,6742596,2018,LandScan Global
Madagascar,,25516572,2018,LandScan Global
Malaysia,,31325867,2018,LandScan Global
Mali,,18413380,2018,LandScan Global
Mauritania,,3774869,2018,LandScan Global
Mauritius,,1352396,2018,LandScan Global
Mexico,,125323612,2018,LandScan Global
Moldova,,3437698,2018,LandScan Global
Mongolia,,3106079,2018,LandScan Global
Namibia,,2566610,2018,LandScan Global
Netherlands,,17000599,2018,LandScan Global
Nicaragua,,6056319,2018,LandScan Global
Niger,,19716401,2018,LandScan Global
Nigeria,,203217298,2018,LandScan Global
Norfolk Island,,1618,2018,LandScan Global
North Korea,,25280115,2018,LandScan Global
Norway,,5199151,2018,LandScan Global
Oman,,4594283,2018,LandScan Global
Pakistan,,207747201,2018,LandScan Global
Panama,,3754717,2018,LandScan Global
Paraguay,,7030856,2018,LandScan Global
Peru,,30996031,2018,LandScan Global
Poland,,38378579,2018,LandScan Global
Republic of the Congo,,5068441,2018,LandScan Global
Rwanda,,12191544,2018,LandScan Global
Saint Barthelemy,,5301,2018,LandScan Global
Saint Pierre and Miquelon,,5273,2018,LandScan Global
Sao Tome and Principe,,200272,2018,LandScan Global
Saudi Arabia,,33019053,2018,LandScan Global
Senegal,,14875363,2018,LandScan Global
Serbia,,7073155,2018,LandScan Global
Slovakia,,5431330,2018,LandScan Global
Solomon Islands,,592600,2018,LandScan Global
Somalia,,11122853,2018,LandScan Global
South Africa,,55010958,2018,LandScan Global
South Korea,,51196560,2018,LandScan Global
Sri Lanka,,22494905,2018,LandScan Global
Sudan,,43072777,2018,LandScan Global
Suriname,,608910,2018,LandScan Global
Svalbard,,2149,2018,LandScan Global
Eswatini,,1089041,2018,LandScan Global
Sweden,,9912375,2018,LandScan Global
Switzerland,,8245896,2018,LandScan Global
Syria,,18796532,2018,LandScan Global
Thailand,,68605696,2018,LandScan Global
Timor-Leste,,1318645,2018,LandScan Global
Togo,,7972898,2018,LandScan Global
Tonga,,99695,2018,LandScan Global
Tunisia,,11460337,2018,LandScan Global
Turkey,,81514113,2018,LandScan Global
Tuvalu,,7056,2018,LandScan Global
Uganda,,40616816,2018,LandScan Global
Ukraine,,43824273,2018,LandScan Global
United Arab Emirates,,9649963,2018,LandScan Global
United States,,326475014,2018,LandScan Global
Uruguay,,3324819,2018,LandScan Global
Uzbekistan,,29962922,2018,LandScan Global
Vanuatu,,255449,2018,LandScan Global
Venezuela,,31561815,2018,LandScan Global
