"st_cnty","night_pop","day_pop"
"01001","55601","41423"
"01003","218022","206846"
"01005","24881","25987"
"01007","22400","18295"
"01009","57840","42508"
"01011","10138","8857"
"01013","19680","18774"
"01015","114277","121090"
"01017","33615","27894"
"01019","26032","20703"
"01021","44153","35760"
"01023","12841","12036"
"01025","23920","25737"
"01027","13275","12001"
"01029","14987","11635"
"01031","51909","48124"
"01033","54762","57749"
"01035","12277","11861"
"01037","10715","7527"
"01039","36986","36707"
"01041","13824","11641"
"01043","83442","80532"
"01045","48956","49058"
"01047","38310","38858"
"01049","71385","64602"
"01051","81887","67420"
"01053","36748","36944"
"01055","102501","99961"
"01057","16433","15363"
"01059","31363","30179"
"01061","26314","20315"
"01063","8233","7079"
"01065","14726","12245"
"01067","17209","14391"
"01069","104722","110816"
"01071","51736","47409"
"01073","659300","727739"
"01075","13844","11932"
"01077","92387","85765"
"01079","32957","24003"
"01081","163941","169107"
"01083","96174","81267"
"01085","9974","8978"
"01087","18439","17792"
"01089","366519","408522"
"01091","19066","19704"
"01093","29763","27908"
"01095","96109","95055"
"01097","413757","425968"
"01099","21067","21687"
"01101","225763","272153"
"01103","119089","114411"
"01105","9140","7582"
"01107","19938","16445"
"01109","33338","38432"
"01111","22725","18843"
"01113","57781","48731"
"01115","88690","70137"
"01117","215707","196884"
"01119","12691","12433"
"01121","79828","75805"
"01123","40497","37565"
"01125","208911","230781"
"01127","63711","59958"
"01129","16378","13737"
"01131","10627","10863"
"01133","23660","22619"
"04001","70332","65529"
"04003","126770","112915"
"04005","142854","141099"
"04007","53290","48853"
"04009","38072","35946"
"04011","9483","10146"
"04012","21098","18526"
"04013","4410676","4360516"
"04015","209550","178104"
"04017","107794","93974"
"04019","1041222","961218"
"04021","447138","322045"
"04023","46511","42121"
"04025","231993","199052"
"04027","212128","199832"
"05001","17769","19508"
"05003","20046","20019"
"05005","41619","42205"
"05007","272608","269081"
"05009","37480","37940"
"05011","10897","10918"
"05013","5277","6361"
"05015","28223","26566"
"05017","10438","10232"
"05019","22061","24126"
"05021","14847","13090"
"05023","24965","22857"
"05025","8018","5910"
"05027","23537","25520"
"05029","20891","21145"
"05031","108558","114094"
"05033","63406","57452"
"05035","48342","46890"
"05037","16676","15011"
"05039","7182","6958"
"05041","11512","11423"
"05043","18328","18704"
"05045","124806","111251"
"05047","17810","16649"
"05049","12269","9672"
"05051","99154","100676"
"05053","18188","15248"
"05055","45325","42912"
"05057","21741","21096"
"05059","33701","29710"
"05061","13341","15652"
"05063","37678","40286"
"05065","13593","12712"
"05067","16811","17335"
"05069","68114","71943"
"05071","26742","27027"
"05073","6682","5693"
"05075","16434","14814"
"05077","8985","8402"
"05079","13383","12333"
"05081","12326","10588"
"05083","21737","19358"
"05085","73657","55052"
"05087","16481","12867"
"05089","16722","14328"
"05091","43592","38187"
"05093","41239","44334"
"05095","6900","6434"
"05097","8924","7564"
"05099","8326","7421"
"05101","7805","5678"
"05103","23606","21808"
"05105","10352","7443"
"05107","18029","18004"
"05109","10673","9556"
"05111","23974","20248"
"05113","20049","19039"
"05115","64000","66636"
"05117","8074","6326"
"05119","392680","488791"
"05121","17948","16978"
"05123","25439","25192"
"05125","121421","89701"
"05127","10319","10119"
"05129","7958","6710"
"05131","127753","144184"
"05133","17139","17402"
"05135","17366","15894"
"05137","12457","10115"
"05139","39126","43751"
"05141","16603","14677"
"05143","236961","244254"
"05145","78727","76805"
"05147","6490","5749"
"05149","21535","20819"
"06001","1666753","1711387"
"06003","1101","1174"
"06005","39383","36995"
"06007","231256","228793"
"06009","45602","35338"
"06011","21627","22667"
"06013","1150215","989255"
"06015","27828","26647"
"06017","190678","160635"
"06019","994400","1009275"
"06021","28047","24215"
"06023","136373","130582"
"06025","181827","193212"
"06027","17987","17634"
"06029","896764","880719"
"06031","151366","141595"
"06033","64382","53704"
"06035","30802","32296"
"06037","10105518","10066387"
"06039","157672","148458"
"06041","259666","246224"
"06043","17471","15710"
"06045","87606","84182"
"06047","274765","258436"
"06049","8777","8176"
"06051","14250","13109"
"06053","435594","438959"
"06055","139417","149276"
"06057","99696","86867"
"06059","3185968","3400688"
"06061","393149","389314"
"06063","18804","18753"
"06065","2450758","2160400"
"06067","1540975","1538248"
"06069","61537","47983"
"06071","2171603","2017548"
"06073","3343364","3398551"
"06075","883305","1128443"
"06077","752660","713270"
"06079","284010","284783"
"06081","769545","745335"
"06083","446527","468098"
"06085","1937570","2090255"
"06087","274255","262746"
"06089","180040","178935"
"06091","2987","2318"
"06093","43724","41802"
"06095","446610","390088"
"06097","499942","471421"
"06099","549815","523670"
"06101","96807","85686"
"06103","63916","58191"
"06105","12535","10080"
"06107","465861","455749"
"06109","54539","52118"
"06111","850862","796553"
"06113","220408","240859"
"06115","78041","69248"
"08001","511868","481637"
"08003","16683","17322"
"08005","651215","658293"
"08007","13765","11313"
"08009","3585","2479"
"08011","5882","5125"
"08013","326078","347036"
"08014","69267","71259"
"08015","20027","19104"
"08017","1876","1133"
"08019","9605","6704"
"08021","8200","5881"
"08023","3828","3024"
